No.,Symbol,Company Name,Market Cap,Stock Price,% Change,Revenue,Volume,Industry,Sector,Net Income,FCF,Net Cash,Rev. Growth
73,MRVL,"Marvell Technology, Inc.",53.73B,62.04,-4.35%,5.77B,"18,663,959",Semiconductors,Technology,4.71%,-885.00M,1.40B,-3.39B
74,CPRT,"Copart, Inc.",53.28B,55.15,-0.88%,4.51B,"6,609,656",Specialty Business Services,Industrials,11.00%,1.45B,1.02B,3.68B
75,PCAR,PACCAR Inc,50.87B,96.91,-1.30%,33.66B,"2,320,491",Farm & Heavy Construction Machinery,Industrials,-4.17%,4.16B,2.90B,-6.36B
76,NXPI,NXP Semiconductors N.V.,48.19B,189.99,-5.03%,12.61B,"4,260,261",Semiconductors,Technology,-4.99%,2.51B,2.06B,-7.85B
77,KDP,Keurig Dr Pepper Inc.,45.78B,33.74,-1.52%,15.35B,"17,024,555",Beverages - Non-Alcoholic,Consumer Staples,3.63%,1.44B,1.66B,-17.82B
78,FANG,"Diamondback Energy, Inc.",45.60B,157.54,-1.68%,10.56B,"1,635,713",Oil & Gas Exploration & Production,Energy,32.69%,3.32B,-5.37B,-12.94B
79,EXC,Exelon Corporation,44.94B,44.71,1.04%,23.03B,"7,631,283",Utilities - Regulated Electric,Utilities,5.99%,2.46B,-1.53B,-46.53B
80,COIN,"Coinbase Global, Inc.",44.16B,173.93,-7.77%,6.29B,"9,667,652",Financial Data & Stock Exchanges,Financials,115.04%,2.58B,2.56B,3.91B
81,FAST,Fastenal Company,43.68B,76.17,-2.01%,7.55B,"2,499,703",Industrial Distribution,Industrials,2.71%,1.15B,946.80M,-229.60M
82,NDAQ,"Nasdaq, Inc.",43.08B,74.91,-1.90%,7.40B,"2,985,740",Financial Data & Stock Exchanges,Financials,22.03%,1.12B,1.73B,-9.32B
83,BKR,Baker Hughes Company,42.65B,43.08,-1.26%,27.83B,"4,137,683",Oil & Gas Equipment & Services,Energy,9.11%,2.98B,2.05B,-3.33B
84,ROST,"Ross Stores, Inc.",41.38B,125.42,-2.84%,21.13B,"2,273,606",Apparel Retail,Consumer Discretionary,3.69%,2.09B,1.64B,-951.69M
85,VRSK,"Verisk Analytics, Inc.",41.32B,294.58,-0.78%,2.88B,"639,395",Consulting Services,Industrials,7.47%,958.20M,920.10M,-2.95B
86,AXON,"Axon Enterprise, Inc.",40.99B,534.95,-2.85%,2.08B,"647,784",Aerospace & Defense,Industrials,33.44%,377.03M,329.53M,255.22M
87,TCOM,Trip.com Group Limited,40.81B,62.68,-3.84%,7.30B,"2,421,057",Travel Services,Consumer Discretionary,19.74%,2.34B,-,5.40B
88,CCEP,Coca-Cola Europacific Partners PLC,40.06B,86.30,0.05%,21.16B,"2,362,886",Beverages - Non-Alcoholic,Consumer Staples,11.67%,1.47B,2.46B,-10.08B
89,XEL,Xcel Energy Inc.,40.06B,69.72,0.58%,13.44B,"3,516,047",Utilities - Regulated Electric,Utilities,-5.39%,1.94B,-2.72B,-30.08B
90,EA,Electronic Arts Inc.,37.59B,144.25,-0.72%,7.35B,"2,094,986",Electronic Gaming & Multimedia,Communication Services,-4.05%,1.05B,1.89B,876.00M
91,CTSH,Cognizant Technology Solutions Corporation,37.54B,75.90,-2.17%,19.74B,"3,779,493",Information Technology Services,Technology,1.98%,2.24B,1.83B,740.00M
92,TTWO,"Take-Two Interactive Software, Inc.",37.15B,210.47,-1.78%,5.45B,"1,439,305",Electronic Gaming & Multimedia,Communication Services,1.00%,-3.66B,-494.60M,-2.89B
93,HOOD,"Robinhood Markets, Inc.",37.12B,41.92,-4.71%,2.95B,"43,839,384",Capital Markets,Financials,58.23%,1.41B,-170.00M,4.58B
94,GEHC,GE HealthCare Technologies Inc.,36.59B,80.01,-2.02%,19.67B,"2,884,549",Health Information Services,Healthcare,0.61%,1.99B,1.55B,-6.50B
95,ARGX,argenx SE,36.47B,589.15,-0.73%,2.25B,"232,856",Biotechnology,Healthcare,77.22%,833.04M,-84.55M,3.34B
96,KHC,The Kraft Heinz Company,36.14B,30.24,0.57%,25.85B,"8,207,915",Packaged Foods,Consumer Staples,-2.98%,2.74B,3.16B,-19.12B
97,ACGL,Arch Capital Group Ltd.,35.54B,95.06,-1.94%,17.44B,"1,151,914",Insurance - Diversified,Financials,27.92%,4.27B,6.62B,-1.91B
98,LULU,lululemon athletica inc.,35.35B,293.06,-14.19%,10.59B,"12,893,984",Apparel Retail,Consumer Discretionary,10.07%,1.81B,1.58B,408.55M
99,ODFL,"Old Dominion Freight Line, Inc.",35.04B,164.85,-3.16%,5.81B,"1,282,918",Trucking,Industrials,-0.88%,1.19B,887.97M,-59.61M
100,ALNY,"Alnylam Pharmaceuticals, Inc.",34.75B,268.46,-0.94%,2.25B,"683,842",Biotechnology,Healthcare,22.97%,-278.16M,-42.59M,-48.92M
101,TW,Tradeweb Markets Inc.,34.66B,146.77,0.35%,1.72B,"1,191,876",Capital Markets,Financials,28.85%,501.12M,856.78M,1.30B
102,DDOG,"Datadog, Inc.",34.65B,101.10,-3.58%,2.68B,"3,792,593",Software - Application,Technology,26.12%,183.75M,835.88M,2.35B
103,IDXX,"IDEXX Laboratories, Inc.",33.70B,415.87,-1.58%,3.90B,"470,098",Diagnostics & Research,Healthcare,6.46%,887.87M,808.08M,-698.68M
104,WTW,Willis Towers Watson Public Limited Company,33.61B,337.16,-1.09%,9.93B,"499,780",Insurance Brokers,Financials,4.71%,-98.00M,1.38B,-4.05B
105,BIDU,"Baidu, Inc.",32.74B,93.37,-5.13%,18.24B,"6,472,399",Internet Content & Information,Communication Services,-1.09%,3.26B,1.80B,6.59B
106,FER,Ferrovial SE,32.67B,45.28,-0.13%,9.47B,"100,570",Infrastructure Operations,Industrials,7.44%,3.35B,953.47M,-7.02B
107,CSGP,"CoStar Group, Inc.",32.53B,79.31,-1.02%,2.74B,"2,333,693",Real Estate Services,Real Estate,11.45%,138.70M,-245.30M,3.55B
108,ZS,"Zscaler, Inc.",32.05B,207.14,-1.10%,2.42B,"2,265,939",Software - Infrastructure,Technology,27.77%,-15.53M,770.66M,1.64B
109,EBAY,eBay Inc.,31.30B,67.16,0.52%,10.28B,"5,549,552",Internet Retail,Consumer Discretionary,1.69%,1.98B,1.96B,-1.97B
110,ONC,"BeiGene, Ltd.",28.75B,267.39,1.82%,3.81B,"490,044",Biotechnology,Healthcare,54.97%,-644.79M,-633.29M,1.55B
111,TSCO,Tractor Supply Company,28.42B,53.47,-1.27%,14.88B,"3,592,155",Specialty Retail,Consumer Discretionary,2.25%,1.10B,636.79M,-5.17B
112,ANSS,"ANSYS, Inc.",27.78B,316.89,-1.61%,2.54B,"489,896",Software - Application,Technology,12.11%,575.69M,751.70M,631.89M
113,MPWR,"Monolithic Power Systems, Inc.",27.76B,579.89,-3.58%,2.21B,"767,009",Semiconductors,Technology,21.20%,1.79B,642.29M,847.15M
114,TTD,"The Trade Desk, Inc.",27.71B,55.85,-2.46%,2.44B,"6,348,604",Software - Application,Technology,25.63%,393.08M,641.22M,1.61B
115,DXCM,"DexCom, Inc.",26.47B,67.74,-2.49%,4.03B,"4,680,559",Medical Devices,Healthcare,11.34%,576.20M,630.70M,-14.40M
116,ERIC,Telefonaktiebolaget LM Ericsson (publ),26.31B,7.78,-1.02%,22.40B,"20,976,600",Communication Equipment,Technology,-5.88%,1.81M,4.41B,983.98M
117,MCHP,Microchip Technology Incorporated,26.19B,48.70,-4.11%,4.76B,"12,054,229",Semiconductors,Technology,-44.31%,308.80M,970.30M,-6.20B
118,FITB,Fifth Third Bancorp,25.83B,38.81,-2.41%,7.95B,"2,635,277",Banks - Regional,Financials,-2.99%,2.16B,2.41B,-15.72B
119,EXE,Expand Energy Corporation,25.82B,110.94,1.19%,4.26B,"2,907,641",Oil & Gas Exploration & Production,Energy,-29.57%,-714.00M,8.00M,-5.51B
120,LI,Li Auto Inc.,25.70B,25.52,-2.37%,19.79B,"4,052,659",Auto Manufacturers,Consumer Discretionary,16.64%,1.10B,2.19B,13.22B
121,WBD,"Warner Bros. Discovery, Inc.",25.46B,10.37,-5.81%,39.32B,"52,595,120",Entertainment,Communication Services,-4.84%,-11.31B,4.43B,-37.68B
122,FCNCO,"First Citizens BancShares, Inc.",25.33B,22.11,-0.90%,9.33B,"16,515",Banks - Regional,Financials,22.69%,2.72B,1.45B,-16.05B
123,LPLA,LPL Financial Holdings Inc.,25.12B,336.89,1.11%,12.08B,"895,786",Capital Markets,Financials,22.49%,1.06B,-294.55M,-3.17B
124,FCNCA,"First Citizens BancShares, Inc.",24.92B,"1,835.10",-2.39%,9.33B,"77,301",Banks - Regional,Financials,22.69%,2.72B,1.45B,-16.05B
125,FOXA,Fox Corporation,24.82B,54.73,-0.35%,15.18B,"2,968,485",Entertainment,Communication Services,4.29%,2.19B,1.84B,-4.80B
126,CHKP,Check Point Software Technologies Ltd.,24.75B,228.37,-1.27%,2.57B,"927,094",Software - Infrastructure,Technology,6.22%,845.70M,1.03B,2.75B
127,FOX,Fox Corporation,23.82B,50.52,-0.41%,15.18B,"828,256",Entertainment,Communication Services,4.29%,2.19B,1.84B,-4.80B
128,VRSN,"VeriSign, Inc.",23.74B,250.92,-1.50%,1.56B,"724,346",Software - Infrastructure,Technology,4.31%,785.70M,874.50M,-1.20B
129,VOD,Vodafone Group Public Limited Company,23.69B,9.45,0.96%,41.28B,"12,775,184",Telecom Services,Communication Services,5.15%,2.84B,13.65B,-49.87B
130,SBAC,SBA Communications Corporation,23.34B,216.84,0.21%,2.68B,"457,693",REIT - Specialty,Real Estate,-1.18%,749.54M,-,-15.57B
131,UAL,"United Airlines Holdings, Inc.",22.99B,70.23,-4.49%,57.06B,"8,111,658",Airlines,Industrials,6.23%,3.15B,3.83B,-19.16B
132,ZM,Zoom Communications Inc.,22.84B,74.84,-2.53%,4.67B,"1,489,820",Software - Application,Technology,3.05%,1.01B,1.81B,7.73B
133,BNTX,BioNTech SE,22.79B,94.95,-0.47%,2.85B,"609,927",Biotechnology,Healthcare,-27.96%,-688.79M,-85.35M,17.11B
134,CINF,Cincinnati Financial Corporation,22.78B,145.55,-1.35%,11.34B,"548,045",Insurance - Property & Casualty,Financials,13.22%,2.29B,2.63B,108.00M
135,RYAAY,Ryanair Holdings plc,22.65B,43.42,-4.04%,14.31B,"1,046,445",Airlines,Industrials,5.34%,1.72B,1.54B,53.21M
136,FWONK,Formula One Group,22.12B,88.93,-0.48%,3.62B,"1,378,997",Entertainment,Communication Services,12.35%,-30.00M,492.00M,-361.00M
137,FWONA,Formula One Group,21.89B,80.35,-0.92%,3.62B,"150,053",Entertainment,Communication Services,12.35%,-30.00M,492.00M,-361.00M
138,EXPE,"Expedia Group, Inc.",21.66B,168.10,-0.57%,13.69B,"1,807,074",Travel Services,Consumer Discretionary,6.64%,1.23B,2.33B,-1.22B
139,HBAN,Huntington Bancshares Incorporated,21.50B,14.79,-2.18%,6.95B,"12,641,039",Banks - Regional,Financials,0.03%,1.80B,1.67B,-3.93B
140,ERIE,Erie Indemnity Company,21.47B,410.66,-2.12%,3.80B,"85,027",Insurance Brokers,Financials,16.10%,600.31M,486.40M,311.93M
141,CDW,CDW Corporation,21.40B,161.51,-1.42%,21.00B,"1,317,310",Information Technology Services,Technology,-1.77%,1.08B,1.15B,-5.66B
142,GFS,GlobalFoundries Inc.,20.40B,36.89,-2.97%,6.75B,"1,785,398",Semiconductors,Technology,-8.69%,-265.00M,1.10B,1.90B
143,TROW,"T. Rowe Price Group, Inc.",20.39B,91.57,-3.31%,7.09B,"1,955,798",Asset Management,Financials,9.80%,2.04B,1.26B,2.31B
144,SMCI,"Super Micro Computer, Inc.",20.33B,34.26,-1.32%,20.82B,"45,283,795",Computer Hardware,Technology,125.01%,1.44B,-2.17B,-523.01M
145,BIIB,Biogen Inc.,20.25B,138.37,-1.40%,9.68B,"1,093,887",Drug Manufacturers - General,Healthcare,-1.62%,1.63B,2.72B,-4.34B
146,SSNC,"SS&C Technologies Holdings, Inc.",20.21B,81.98,-1.98%,5.88B,"801,678",Software - Application,Technology,6.89%,760.50M,1.33B,-6.64B
147,NTRA,"Natera, Inc.",19.46B,143.94,-2.94%,1.70B,"1,258,459",Diagnostics & Research,Healthcare,56.75%,-190.43M,69.24M,781.16M
148,NTRS,Northern Trust Corporation,19.01B,97.15,-3.38%,8.29B,"1,473,524",Asset Management,Financials,22.88%,1.97B,-587.50M,-6.74B
149,NTNX,"Nutanix, Inc.",18.94B,71.02,-1.31%,2.32B,"2,087,988",Software - Infrastructure,Technology,14.82%,-55.36M,641.57M,277.14M
150,OKTA,"Okta, Inc.",18.75B,107.99,-2.89%,2.61B,"2,872,357",Software - Infrastructure,Technology,15.33%,28.00M,742.00M,1.54B
151,PFG,"Principal Financial Group, Inc.",18.74B,83.06,-2.37%,16.13B,"1,094,698",Asset Management,Financials,18.02%,1.57B,4.53B,-445.60M
152,PTC,PTC Inc.,18.63B,154.80,-3.44%,2.31B,"951,004",Software - Application,Technology,6.05%,392.18M,788.49M,-1.52B
153,GRAB,Grab Holdings Limited,18.60B,4.570,-4.79%,2.80B,"21,416,107",Software - Application,Technology,18.57%,-105.00M,775.00M,5.31B
154,STLD,"Steel Dynamics, Inc.",18.58B,123.97,-3.14%,17.54B,"2,337,180",Steel,Materials,-6.68%,1.54B,-23.50M,-2.61B
155,CRWV,"CoreWeave, Inc.",18.52B,40.00,-,1.92B,"36,912,534",Software - Application,Technology,736.64%,-937.77M,-5.95B,-9.26B
156,PODD,Insulet Corporation,18.17B,258.75,-0.58%,2.07B,"483,094",Medical Devices,Healthcare,22.07%,418.30M,305.40M,-480.80M
157,RPRX,Royalty Pharma plc,18.08B,31.37,-0.88%,2.26B,"4,077,104",Biotechnology,Healthcare,-3.86%,858.98M,-,-6.63B
158,NTAP,"NetApp, Inc.",17.98B,88.40,-2.95%,6.51B,"2,661,915",Computer Hardware,Technology,5.29%,1.14B,1.27B,18.00M
159,STX,Seagate Technology Holdings plc,17.98B,84.92,-2.95%,8.04B,"1,841,485",Computer Hardware,Technology,24.17%,1.18B,685.00M,-4.44B
160,IBKR,"Interactive Brokers Group, Inc.",17.95B,164.72,-2.53%,5.20B,"2,252,134",Capital Markets,Financials,17.65%,755.00M,8.68B,65.41B
161,KSPI,Joint Stock Company Kaspi.kz,17.87B,94.04,1.33%,4.85B,"331,357",Software - Infrastructure,Technology,33.72%,1.98B,964.72M,918.50M
162,ESLT,Elbit Systems Ltd.,17.67B,387.86,-1.17%,6.83B,"94,658",Aerospace & Defense,Industrials,14.28%,321.14M,319.56M,-1.10B
163,TPG,TPG Inc.,17.63B,47.71,-3.69%,3.50B,"748,749",Asset Management,Financials,46.45%,-307.00K,504.01M,-775.29M
164,DKNG,DraftKings Inc.,17.29B,35.29,-4.72%,4.77B,"10,863,117",Gambling,Consumer Discretionary,30.07%,-507.29M,407.59M,-546.80M
165,ON,ON Semiconductor Corporation,17.25B,40.94,-6.44%,7.08B,"10,434,937",Semiconductors,Technology,-14.19%,1.57B,1.21B,-651.80M
166,DOCU,"DocuSign, Inc.",16.84B,83.18,-2.89%,2.98B,"1,453,362",Software - Application,Technology,7.78%,1.07B,920.28M,839.12M
167,COO,"The Cooper Companies, Inc.",16.75B,83.77,-1.42%,3.93B,"1,645,152",Medical Instruments & Supplies,Healthcare,7.15%,415.40M,384.70M,-2.44B
168,CYBR,CyberArk Software Ltd.,16.61B,335.74,-1.60%,1.00B,"353,093",Software - Infrastructure,Technology,33.10%,-93.46M,220.83M,811.81M
169,Z,"Zillow Group, Inc.",16.58B,68.74,-2.29%,2.24B,"1,840,189",Internet Content & Information,Communication Services,14.96%,-112.00M,285.00M,1.20B
170,WMG,Warner Music Group Corp.,16.42B,31.56,-2.17%,6.34B,"1,477,264",Entertainment,Communication Services,0.75%,505.00M,670.00M,-3.41B
171,LNT,Alliant Energy Corporation,16.32B,63.58,0.73%,3.98B,"2,293,527",Utilities - Regulated Electric,Utilities,-1.14%,690.00M,-1.08B,-10.54B
172,ZG,"Zillow Group, Inc.",16.30B,67.20,-2.33%,2.24B,"301,264",Internet Content & Information,Communication Services,14.96%,-112.00M,285.00M,1.20B
